Method,Missing %,Condition,Boundary,Length,Gap_size,MAE,RMSE,R2,Bias
Linear,5%,extreme_high_temp,crossing,medium,19,1.318,1.672,0.792,-0.71
Linear,5%,stagnant_wind,rising,short,3,0.198,0.24,0.8885,0.126
Linear,5%,normal,crossing,medium,19,1.302,1.667,0.6674,-1.08
Linear,5%,normal,rising,long,39,1.978,2.306,0.3314,-0.644
Linear,5%,normal,falling,medium,17,0.383,0.486,0.9005,0.058
Linear,5%,high_temp,crossing,medium,15,1.086,1.196,0.2807,1.086
Linear,5%,extreme_high_temp,stable,short,3,0.526,0.548,-5.3753,-0.526
Linear,5%,stagnant_wind,stable,short,3,0.425,0.452,-62.9161,-0.425
Linear,5%,low_temp,stable,medium,9,0.672,0.795,-0.4518,0.672
Linear,5%,normal,crossing,medium,19,3.293,3.917,-0.682,3.293
Linear,5%,extreme_high_temp,rising,medium,19,2.483,2.62,-1.7578,-2.483
Linear,5%,stagnant_wind,crossing,short,3,0.04,0.05,-0.6391,-0.034
Linear,5%,normal,crossing,long,47,3.694,4.077,-0.3422,1.351
Linear,5%,stagnant_wind,stable,long,25,1.22,1.856,0.0279,-0.244
Linear,5%,low_temp,crossing,medium,15,1.763,2.062,-0.7513,1.763
Linear,5%,low_temp,crossing,short,3,0.137,0.159,0.9663,0.04
Linear,5%,normal,stable,short,3,0.893,0.912,-25.5651,-0.893
Linear,5%,low_temp,crossing,long,35,3.803,4.647,-0.7164,3.77
Linear,5%,low_temp,crossing,short,3,0.42,0.427,0.9012,-0.192
Linear,5%,stagnant_wind,stable,short,5,0.168,0.185,-0.8526,-0.155
Linear,5%,normal,falling,medium,11,1.029,1.235,0.6469,-1.029
Linear,5%,low_temp,crossing,short,5,0.874,1.01,0.5434,0.874
Linear,5%,low_temp,crossing,medium,7,0.499,0.57,0.9245,0.308
Linear,5%,normal,stable,short,5,0.311,0.361,-2.3265,-0.025
Linear,5%,stagnant_wind,stable,medium,7,0.239,0.309,-0.4677,0.043
Linear,5%,normal,crossing,medium,23,3.398,3.917,-0.7853,3.398
Linear,5%,normal,stable,long,45,2.038,2.342,-3.7423,2.018
Linear,5%,normal,crossing,medium,17,1.715,2.115,0.433,-1.674
Linear,5%,stagnant_wind,stable,short,1,0.026,0.026,,-0.026
Linear,5%,normal,stable,long,27,4.979,5.521,-4.1323,4.979
Linear,5%,normal,stable,short,5,0.628,0.652,-12.1379,-0.628
Linear,5%,normal,crossing,long,39,5.394,6.563,-2.4297,-5.365
Linear,5%,normal,stable,medium,7,0.206,0.244,-0.1452,-0.204
Linear,5%,normal,stable,long,42,2.048,2.384,0.0664,0.983
Linear,5%,normal,crossing,medium,21,3.375,3.838,-4.6356,3.375
Linear,5%,stagnant_wind,crossing,medium,7,0.263,0.323,0.5626,0.192
Linear,5%,normal,rising,medium,13,1.134,1.326,0.8925,0.406
Linear,5%,stagnant_wind,stable,short,2,0.259,0.335,-0.7686,-0.259
Linear,5%,normal,crossing,long,37,1.836,2.072,0.4785,0.331
Linear,5%,normal,crossing,medium,18,1.485,1.797,-0.1106,0.055
Linear,5%,normal,falling,long,29,1.364,1.986,0.3078,-0.681
